t,l,x,y,z,Unnamed: 5
702,1,-1.17,-0.49,-1.99,
703,1,-0.93,-0.45,-1.76,
705,1,-0.93,-0.45,-1.76,
707,1,-0.93,-0.45,-1.76,
708,1,-0.93,-0.45,-1.76,
710,1,-0.93,-0.45,-1.76,
712,1,-0.93,-0.45,-1.76,
713,1,-0.73,-0.42,-1.54,
715,1,-0.73,-0.42,-1.54,
717,1,-0.73,-0.42,-1.54,
718,1,-0.73,-0.42,-1.54,
720,1,-0.73,-0.42,-1.54,
722,1,-0.73,-0.42,-1.54,
723,1,-0.57,-0.43,-1.37,
725,1,-0.57,-0.43,-1.37,
727,1,-0.57,-0.43,-1.37,
729,1,-0.57,-0.43,-1.37,
730,1,-0.57,-0.43,-1.37,
732,1,-0.57,-0.43,-1.25,
734,1,-0.45,-0.4,-1.2,
735,1,-0.45,-0.4,-1.2,
737,1,-0.45,-0.4,-1.2,
739,1,-0.45,-0.4,-1.2,
740,1,-0.45,-0.4,-1.2,
742,1,-0.45,-0.31,-0.97,
744,1,-0.47,-0.31,-0.97,
745,1,-0.47,-0.31,-0.97,
747,1,-0.47,-0.31,-0.97,
749,1,-0.47,-0.31,-0.97,
750,1,-0.47,-0.31,-0.97,
752,1,-0.54,-0.26,-0.76,
754,1,-0.54,-0.26,-0.76,
756,1,-0.54,-0.26,-0.76,
757,1,-0.54,-0.26,-0.76,
759,1,-0.54,-0.26,-0.76,
761,1,-0.54,-0.26,-0.76,
762,1,-0.66,-0.28,-0.53,
764,1,-0.66,-0.28,-0.53,
766,1,-0.66,-0.28,-0.53,
767,1,-0.66,-0.28,-0.53,
769,1,-0.66,-0.28,-0.53,
771,1,-0.66,-0.28,-0.53,
772,1,-0.74,-0.28,-0.31,
774,1,-0.74,-0.28,-0.31,
776,1,-0.74,-0.28,-0.31,
777,1,-0.74,-0.28,-0.31,
779,1,-0.74,-0.28,-0.31,
781,1,-0.74,-0.28,-0.06,
782,1,-0.79,-0.31,-0.1,
784,1,-0.79,-0.31,-0.1,
786,1,-0.79,-0.31,-0.1,
788,1,-0.79,-0.31,-0.1,
789,1,-0.79,-0.31,-0.1,
791,1,-0.79,-0.31,0.01,
793,1,-0.82,-0.31,0.01,
794,1,-0.82,-0.31,0.01,
796,1,-0.82,-0.31,0.01,
797,1,-0.82,-0.31,0.01,
799,1,-0.82,-0.31,0.01,
801,1,-0.84,-0.27,0.08,
802,1,-0.84,-0.27,0.08,
804,1,-0.84,-0.27,0.08,
806,1,-0.84,-0.27,0.08,
807,1,-0.84,-0.27,0.08,
809,1,-0.84,-0.27,0.08,
811,1,-0.87,-0.23,0.24,
812,1,-0.87,-0.23,0.24,
814,1,-0.87,-0.23,0.24,
816,1,-0.87,-0.23,0.24,
817,1,-0.87,-0.23,0.24,
819,1,-0.87,-0.23,0.24,
821,1,-0.88,-0.12,0.36,
822,1,-0.88,-0.12,0.36,
824,1,-0.88,-0.12,0.36,
826,1,-0.88,-0.12,0.36,
828,1,-0.88,-0.12,0.36,
829,1,-0.88,-0.12,0.36,
831,1,-0.84,-0.12,0.5,
833,1,-0.84,-0.12,0.5,
834,1,-0.84,-0.12,0.5,
836,1,-0.84,-0.12,0.5,
837,1,-0.84,-0.12,0.5,
839,1,-0.84,-0.12,0.5,
841,1,-0.76,-0.11,0.67,
842,1,-0.76,-0.11,0.67,
844,1,-0.76,-0.11,0.67,
846,1,-0.76,-0.11,0.67,
847,1,-0.76,-0.11,0.67,
849,1,-0.76,-0.11,0.67,
851,1,-0.65,-0.07,0.84,
852,1,-0.65,-0.07,0.84,
854,1,-0.65,-0.07,0.84,
856,1,-0.65,-0.07,0.84,
857,1,-0.65,-0.07,0.84,
859,1,-0.65,0.05,0.98,
861,1,-0.54,0.01,0.98,
862,1,-0.54,0.01,0.98,
864,1,-0.54,0.01,0.98,
866,1,-0.54,0.01,0.98,
867,1,-0.54,0.01,0.98,
869,1,-0.38,0.07,1.1,
871,1,-0.38,0.07,1.1,
872,1,-0.38,0.07,1.1,
874,1,-0.38,0.07,1.1,
876,1,-0.38,0.07,1.1,
877,1,-0.38,0.07,1.1,
879,1,-0.23,0.09,1.19,
881,1,-0.23,0.09,1.19,
882,1,-0.23,0.09,1.19,
884,1,-0.23,0.09,1.19,
886,1,-0.23,0.09,1.19,
887,1,-0.23,0.09,1.19,
889,1,-0.02,0.13,1.31,
891,1,-0.02,0.13,1.31,
892,1,-0.02,0.13,1.31,
894,1,-0.02,0.13,1.31,
896,1,-0.02,0.13,1.31,
897,1,-0.02,0.13,1.31,
899,1,0.26,0.16,1.41,
901,1,0.26,0.16,1.41,
902,1,0.26,0.16,1.41,
904,1,0.26,0.16,1.41,
906,1,0.26,0.16,1.41,
907,1,0.26,0.16,1.41,
909,1,0.63,0.22,1.4,
911,1,0.63,0.22,1.4,
912,1,0.63,0.22,1.4,
914,1,0.63,0.22,1.4,
916,1,0.63,0.22,1.4,
917,1,0.63,0.22,1.4,
919,1,1.06,0.16,1.39,
921,1,1.06,0.16,1.39,
922,1,1.06,0.16,1.39,
924,1,1.06,0.16,1.39,
926,1,1.06,0.16,1.39,
927,1,1.06,0.16,1.27,
929,1,1.34,-0.1,1.3,
931,1,1.34,-0.1,1.3,
932,1,1.34,-0.1,1.3,
934,1,1.34,-0.1,1.3,
936,1,1.34,-0.1,1.3,
937,1,-0.91,-0.5,1.38,
939,1,-0.89,-0.5,1.38,
941,1,-0.89,-0.5,1.38,
942,1,-0.89,-0.5,1.38,
944,1,-0.89,-0.5,1.38,
946,1,-0.89,-0.5,1.38,
947,1,-10.59,-1.59,1.78,
949,1,-10.59,-1.59,1.78,
951,1,-10.59,-1.59,1.78,
952,1,-10.59,-1.59,1.78,
954,1,-10.59,-1.59,1.78,
956,1,-10.59,-1.59,1.78,
958,1,-4.07,-2.64,2.47,
959,1,-4.07,-2.64,2.47,
961,1,-4.07,-2.64,2.47,
963,1,-4.07,-2.64,2.47,
964,1,-4.07,-2.64,2.47,
966,1,-4.07,-2.64,2.47,
967,1,0.97,-0.01,-0.7,
969,1,0.97,-0.01,-0.7,
971,1,0.97,-0.01,-0.7,
972,1,0.97,-0.01,-0.7,
974,1,0.97,-0.01,-0.7,
976,1,0.97,-0.01,-0.7,
977,1,1.89,0.78,0.68,
979,1,1.89,0.78,0.68,
981,1,1.89,0.78,0.68,
982,1,1.89,0.78,0.68,
984,1,1.89,0.78,0.68,
986,1,1.89,0.78,0.68,
987,1,-2.6,-1.5,0.2,
989,1,-2.6,-1.5,0.2,
991,1,-2.6,-1.5,0.2,
992,1,-2.6,-1.5,0.2,
994,1,-2.6,-1.5,0.2,
996,1,-2.6,-1.37,0.62,
997,1,-1.58,-1.31,0.62,
999,1,-1.58,-1.31,0.62,
1001,1,-1.58,-1.31,0.62,
1003,1,-1.58,-1.31,0.62,
1004,1,-1.58,-1.31,0.62,
1006,1,-0.55,-0.3,0.44,
1007,1,-0.55,-0.3,0.44,
1009,1,-0.55,-0.3,0.44,
1011,1,-0.55,-0.3,0.44,
1012,1,-0.55,-0.3,0.44,
1014,1,-0.55,-0.3,0.44,
1016,1,-1.1,-0.32,0.28,
1017,1,-1.1,-0.32,0.28,
1019,1,-1.1,-0.32,0.28,
1021,1,-1.1,-0.32,0.28,
1022,1,-1.1,-0.32,0.28,
1024,1,-1.1,-0.32,0.28,
1026,1,-0.91,-0.11,0.17,
1027,1,-0.91,-0.11,0.17,
1029,1,-0.91,-0.11,0.17,
1031,1,-0.91,-0.11,0.17,
1032,1,-0.91,-0.11,0.17,
1034,1,-0.91,-0.11,0.17,
1036,1,-0.86,-0.02,0.12,
1037,1,-0.86,-0.02,0.12,
1039,1,-0.86,-0.02,0.12,
1041,1,-0.86,-0.02,0.12,
1042,1,-0.86,-0.02,0.12,
1044,1,-0.86,-0.02,0.12,
1046,1,-0.98,-0.03,0.13,
1047,1,-0.98,-0.03,0.13,
1049,1,-0.98,-0.03,0.13,
1051,1,-0.98,-0.03,0.13,
1052,1,-0.98,-0.03,0.13,
1054,1,-0.98,-0.03,0.13,
1056,1,-0.96,-0.08,0.19,
1057,1,-0.96,-0.08,0.19,
1059,1,-0.96,-0.08,0.19,
1061,1,-0.96,-0.08,0.19,
1062,1,-0.96,-0.08,0.19,
1064,1,-0.96,-0.08,0.19,
1066,1,-0.95,-0.09,0.19,
1067,1,-0.95,-0.09,0.19,
1069,1,-0.95,-0.09,0.19,
1071,1,-0.95,-0.09,0.19,
1072,1,-0.95,-0.09,0.19,
1074,1,-0.95,-0.12,0.21,
1076,1,-0.92,-0.12,0.21,
1077,1,-0.92,-0.12,0.21,
1079,1,-0.92,-0.12,0.21,
1081,1,-0.92,-0.12,0.21,
1082,1,-0.92,-0.12,0.21,
1084,1,-0.96,-0.13,0.21,
1086,1,-0.96,-0.13,0.21,
1087,1,-0.96,-0.13,0.21,
1089,1,-0.96,-0.13,0.21,
1091,1,-0.96,-0.13,0.21,
1092,1,-0.96,-0.13,0.21,
1094,1,-0.95,-0.12,0.24,
1096,1,-0.95,-0.12,0.24,
1097,1,-0.95,-0.12,0.24,
1099,1,-0.95,-0.12,0.24,
1101,1,-0.95,-0.12,0.24,
1102,1,-0.95,-0.12,0.24,
1104,1,-0.92,-0.09,0.32,
1106,1,-0.92,-0.09,0.32,
1107,1,-0.92,-0.09,0.32,
1109,1,-0.92,-0.09,0.32,
1111,1,-0.92,-0.09,0.32,
1112,1,-0.92,-0.09,0.32,
1114,1,-0.93,-0.05,0.36,
1116,1,-0.93,-0.05,0.36,
1117,1,-0.93,-0.05,0.36,
1119,1,-0.93,-0.05,0.36,
1121,1,-0.93,-0.05,0.36,
1122,1,-0.93,-0.05,0.36,
1124,1,-0.92,-0.03,0.29,
1126,1,-0.92,-0.03,0.29,
1127,1,-0.92,-0.03,0.29,
1129,1,-0.92,-0.03,0.29,
1131,1,-0.92,-0.03,0.29,
1132,1,-0.92,-0.03,0.16,
1134,1,-0.97,-0.04,0.17,
1136,1,-0.97,-0.04,0.17,
1137,1,-0.97,-0.04,0.17,
1139,1,-0.97,-0.04,0.17,
1141,1,-0.97,-0.04,0.17,
1142,1,-0.97,-0.08,0.05,
