t,l,x,y,z,
2760280,0,-0.96,0.06,0.13,
2760282,0,-0.96,0.06,0.13,
2760284,0,-0.96,0.06,0.13,
2760285,0,-0.96,0.06,0.13,
2760287,0,-0.96,0.06,0.13,
2760289,0,-0.98,0.03,0.12,
2760290,0,-0.98,0.03,0.12,
2760292,0,-0.98,0.03,0.12,
2760294,0,-0.98,0.03,0.12,
2760295,0,-0.98,0.03,0.12,
2760297,0,-0.98,0.03,0.12,
2760299,0,-1.01,-0.01,0.12,
2760300,0,-1.01,-0.01,0.12,
2760302,0,-1.01,-0.01,0.12,
2760303,0,-1.01,-0.01,0.12,
2760305,0,-1.01,-0.01,0.12,
2760307,0,-1.01,-0.01,0.12,
2760308,0,-1,-0.01,0.1,
2760310,0,-1,-0.01,0.1,
2760312,0,-1,-0.01,0.1,
2760313,0,-1,-0.01,0.1,
2760315,0,-1,-0.01,0.1,
2760317,0,-1,-0.01,0.1,
2760318,0,-0.98,0,0.09,
2760320,0,-0.98,0,0.09,
2760322,0,-0.98,0,0.09,
2760323,0,-0.98,0,0.09,
2760325,0,-0.98,0,0.09,
2760327,0,-0.98,0,0.09,
2760328,0,-0.97,0.01,0.09,
2760330,0,-0.97,0.01,0.09,
2760332,0,-0.97,0.01,0.09,
2760333,0,-0.97,0.01,0.09,
2760335,0,-0.97,0.01,0.09,
2760337,0,-0.97,0.01,0.09,
2760338,0,-0.97,0.03,0.09,
2760340,0,-0.97,0.03,0.09,
2760342,0,-0.97,0.03,0.09,
2760343,0,-0.97,0.03,0.09,
2760345,0,-0.97,0.03,0.09,
2760346,0,-0.97,0.03,0.09,
2760348,0,-0.96,0.04,0.08,
2760350,0,-0.96,0.04,0.08,
2760351,0,-0.96,0.04,0.08,
2760353,0,-0.96,0.04,0.08,
2760355,0,-0.96,0.04,0.08,
2760356,0,-0.96,0.04,0.08,
2760358,0,-0.95,0.05,0.08,
2760360,0,-0.95,0.05,0.08,
2760361,0,-0.95,0.05,0.08,
2760363,0,-0.95,0.05,0.08,
2760365,0,-0.95,0.05,0.08,
2760366,0,-0.95,0.04,0.11,
2760368,0,-0.97,0.04,0.11,
2760370,0,-0.97,0.04,0.11,
2760371,0,-0.97,0.04,0.11,
2760373,0,-0.97,0.04,0.11,
2760375,0,-0.97,0.04,0.11,
2760376,0,-0.99,0.02,0.13,
2760378,0,-0.99,0.02,0.13,
2760380,0,-0.99,0.02,0.13,
2760381,0,-0.99,0.02,0.13,
2760383,0,-0.99,0.02,0.13,
2760385,0,-0.99,0.02,0.13,
2760386,0,-0.99,-0.01,0.11,
2760388,0,-0.99,-0.01,0.11,
2760390,0,-0.99,-0.01,0.11,
2760391,0,-0.99,-0.01,0.11,
2760393,0,-0.99,-0.01,0.11,
2760395,0,-0.99,-0.01,0.11,
2760396,0,-1.01,-0.04,0.11,
2760398,0,-1.01,-0.04,0.11,
2760400,0,-1.01,-0.04,0.11,
2760401,0,-1.01,-0.04,0.11,
2760403,0,-1.01,-0.04,0.11,
2760405,0,-1.01,-0.04,0.11,
2760406,0,-1.01,-0.06,0.07,
2760408,0,-1.01,-0.06,0.07,
2760410,0,-1.01,-0.06,0.07,
2760411,0,-1.01,-0.06,0.07,
2760413,0,-1.01,-0.06,0.07,
2760415,0,-1.01,-0.06,0.07,
2760416,0,-0.99,-0.06,0.02,
2760418,0,-0.99,-0.06,0.02,
2760420,0,-0.99,-0.06,0.02,
2760421,0,-0.99,-0.06,0.02,
2760423,0,-0.99,-0.06,0.02,
2760425,0,-0.99,-0.06,0.02,
2760426,0,-0.97,-0.03,0.02,
2760428,0,-0.97,-0.03,0.02,
2760430,0,-0.97,-0.03,0.02,
2760431,0,-0.97,-0.03,0.02,
2760433,0,-0.97,-0.03,0.02,
2760435,0,-0.97,-0.03,0.01,
2760436,0,-0.96,-0.01,0.01,
2760438,0,-0.96,-0.01,0.01,
2760440,0,-0.96,-0.01,0.01,
2760441,0,-0.96,-0.01,0.01,
2760443,0,-0.96,-0.01,0.01,
2760445,0,-0.96,0.01,0.02,
2760446,0,-0.96,0.01,0.02,
2760448,0,-0.96,0.01,0.02,
2760450,0,-0.96,0.01,0.02,
2760451,0,-0.96,0.01,0.02,
2760453,0,-0.96,0.01,0.02,
2760455,0,-0.96,0.02,0.02,
2760456,0,-0.96,0.02,0.02,
2760458,0,-0.96,0.02,0.02,
2760460,0,-0.96,0.02,0.02,
2760461,0,-0.96,0.02,0.02,
2760463,0,-0.96,0.02,0.02,
2760465,0,-0.97,0.02,0.03,
2760466,0,-0.97,0.02,0.03,
2760468,0,-0.97,0.02,0.03,
2760470,0,-0.97,0.02,0.03,
2760471,0,-0.97,0.02,0.03,
2760473,0,-0.97,0.02,0.03,
2760475,0,-0.97,0.01,0.05,
2760476,0,-0.97,0.01,0.05,
2760478,0,-0.97,0.01,0.05,
2760480,0,-0.97,0.01,0.05,
2760481,0,-0.97,0.01,0.05,
2760483,0,-0.97,0.01,0.05,
2760484,0,-1,-0.02,0.07,
2760486,0,-1,-0.02,0.07,
2760488,0,-1,-0.02,0.07,
2760489,0,-1,-0.02,0.07,
2760491,0,-1,-0.02,0.07,
2760493,0,-1,-0.02,0.07,
2760494,0,-1,-0.03,0.08,
2760496,0,-1,-0.03,0.08,
2760498,0,-1,-0.03,0.08,
2760499,0,-1,-0.03,0.08,
2760501,0,-1,-0.03,0.08,
2760503,0,-1,-0.03,0.08,
2760504,0,-0.98,-0.02,0.09,
2760506,0,-0.98,-0.02,0.09,
2760508,0,-0.98,-0.02,0.09,
2760509,0,-0.98,-0.02,0.09,
